H,L,n,RA_pct,RB_pct,RC_pct,SPL_pct,v33_m,RA_m,RB_m,RC_m,SPL_m,best,lift_vs_v33
10,5,17160,0.34411421911421913,0.4379370629370629,0.012937062937062937,0.0,0.30270425409593105,0.3240227270795962,0.22901952210564105,1.2758336249679774,2.8400632296939596,RB,736.8473199028999
10,4,17160,0.2944638694638695,0.4277972027972028,0.048659673659673656,0.0,0.26997727299356583,0.38631031506761065,0.2448499415754742,0.9473076927953232,2.610646853863266,RB,251.2733141809162
10,3,17160,0.2565850815850816,0.362995337995338,0.1298951048951049,0.0,0.2454239510042085,0.43716054815670913,0.28616229602855375,0.6721069345492783,2.532552447472699,RB,-407.38345024345256
10,2,17160,0.2347902097902098,0.25075757575757573,0.2541958041958042,0.0,0.2476212119507779,0.4772957458141279,0.40074125836372143,0.43752272743579773,2.508011946683187,RB,-1531.2004641294352
9,8,17160,0.4448135198135198,0.3958041958041958,0.006643356643356644,0.0,0.28268560586770725,0.21691550160839607,0.2349399767851887,1.4425084505134125,2.753649185535917,RA,657.7010425931118
9,7,17160,0.437995337995338,0.39044289044289043,0.008508158508158508,0.0,0.28005011644939476,0.23827156173678588,0.25597756422072704,1.3526153844519624,2.7092325174429353,RA,417.78554712608883
9,6,17160,0.4590909090909091,0.35565268065268063,0.013752913752913752,0.0,0.26474766904479524,0.22810460391008275,0.2960772143370778,1.2746599660909546,2.656388404358467,RA,366.4306513471249
9,5,17160,0.45180652680652683,0.3333916083916084,0.019755244755244754,0.0,0.2659122960973587,0.23782983689084822,0.329750291864976,1.2220218531298939,2.6358866554182914,RA,280.8245920651051
9,4,17160,0.40646853146853146,0.35675990675990676,0.028613053613053614,0.0,0.25407080406790905,0.27237092064398327,0.30658333367621415,1.1278353733489277,2.6939379381838675,RA,-183.00116576074223
9,3,17160,0.35524475524475524,0.3275058275058275,0.08385780885780886,0.0,0.226214451925549,0.32791404443883093,0.3395501165642644,0.8170177736320687,2.4830148601849698,RA,-1016.9959251328194
9,2,17160,0.32773892773892777,0.23595571095571097,0.18327505827505827,0.0,0.21276689996505438,0.36296561792072796,0.43350087412457156,0.5549114224503126,2.437294290297543,RA,-1501.9871795567358
8,7,17160,0.4491258741258741,0.36113053613053614,0.019055944055944057,0.0,0.23752010510300908,0.2120326341250325,0.2633301280274996,1.2070556529688525,2.556143066307339,RA,254.87470977976574
8,6,17160,0.4923659673659674,0.29865967365967366,0.02727272727272727,0.0,0.2338030300995374,0.1980238928351039,0.33292191130258925,1.1521625874852242,2.52926107321753,RA,357.7913726443349
8,5,17160,0.49347319347319346,0.2762237762237762,0.03146853146853147,0.0,0.235331876773283,0.20149125881652655,0.38274329872492546,1.1126526811429884,2.5060929496803523,RA,338.40617956756444
8,4,17160,0.4356060606060606,0.29743589743589743,0.04766899766899767,0.0,0.22609498820529214,0.24490034975928834,0.3697858395060906,0.992971737148937,2.5398114811382113,RA,-188.05361553996204
8,3,17160,0.40973193473193475,0.29790209790209793,0.05792540792540792,0.0,0.2236861885874261,0.2696031468944832,0.36465326311329427,0.9511701627600274,2.6308889865380274,RA,-459.1695830705714
8,2,17160,0.36043123543123545,0.23245920745920745,0.14382284382284383,0.0,0.21010926557023138,0.3170687641619568,0.45811421912161326,0.6482540793287609,2.453331293789225,RA,-1069.594985917254
7,6,17160,0.43554778554778556,0.30303030303030304,0.05308857808857809,0.0,0.20013782045861495,0.22167919591928903,0.3107170747059543,0.9727307696334501,2.3981261652985495,RA,-215.41375460674084
7,5,17160,0.46025641025641023,0.25285547785547785,0.06118881118881119,0.0,0.20800670199400131,0.2187138697593245,0.3881809446333836,0.9447983691581723,2.3851759915682433,RA,-107.07167765323183
7,4,17160,0.40174825174825174,0.26975524475524476,0.08682983682983683,0.0,0.20598659701026664,0.26551311211785333,0.3868650931608809,0.8301217954849504,2.4092558274046127,RA,-595.2651510758668
